ID	pheotype
HOCHN13FB01100204	0.468084727
HOCHN13FB01120202	0.648125907
HOCHN13FB01120405	0.609142821
HOCHN13FB01120503	0.827786315
HOCHN13FB01121021	0.491402812
HOCHN13FB01121916	0.616247469
HOCHN13FB01130112	0.569497192
HOCHN13FB01130223	0.723440095
HOCHN13FB01130320	0.664555893
HOCHN13FB01130326	0.737946227
HOCHN13FB01130404	0.630969781
HOCHN13FB01130606	0.411857506
HOCHN13FB01130703	0.641187525
HOCHN13FB01131001	0.397834794
HOCHN13FB01131118	0.631233155
HOCHN13FB01131203	0.521842475
HOCHN13FB01131217	0.883274512
HOCHN13FB01140105	0.704958435
HOCHN13FB01140111	0.791702796
HOCHN13FB01140202	0.781091642
HOCHN13FB01140222	0.351597516
HOCHN13FB01140302	0.594248707
HOCHN13FB01140309	0.651235964
HOCHN13FB01140505	0.404492952
HOCHN13FB01140605	0.630437105
HOCHN13FB01140606	0.450042816
HOCHN13FB01140713	0.523472795
HOCHN13FB01140718	0.714463452
HOCHN13FB01140728	0.664736827
HOCHN13FB01140729	0.690129259
HOCHN13FB01140730	0.514941886
HOCHN13FB01140733	0.534671252
HOCHN13FB01140734	0.799586002
HOCHN13FB01140808	0.651450531
HOCHN13FB01140809	0.841009323
HOCHN13FB01140814	0.662636748
HOCHN13FB01140817	0.694693741
HOCHN13FB01140905	0.629921671
HOCHN13FB01140911	0.463989047
HOCHN13FB01140912	0.713858404
HOCHN13FB01141004	0.702266224
HOCHN13FB01141014	0.575142895
HOCHN13FB01141015	0.631154086
HOCHN13FB01141102	0.545281393
HOCHN13FB01141108	0.654537316
HOCHN13FB01141127	0.828477003
HOCHN13FB01141205	0.834396104
HOCHN13FB01141216	0.615618255
HOCHN13FB01141218	0.496787134
HOCHN13FB01141222	0.626758322
HOCHN13FB01141227	0.707301523
HOCHN13FB01141228	0.601982402
HOCHN13FB01150104	0.576380774
HOCHN13FB01150111	0.566347231
HOCHN13FB01150114	0.635768887
HOCHN13FB01150122	0.625471711
HOCHN13FB01150133	0.61753918
HOCHN13FB01150207	0.715299228
HOCHN13FB01150212	0.52495581
HOCHN13FB01150216	0.835049761
HOCHN13FB01150234	0.597858326
HOCHN13FB01150303	0.588178818
HOCHN13FB01150304	0.581302403
HOCHN13FB01150306	0.530242339
HOCHN13FB01150307	0.695593761
HOCHN13FB01150309	0.531097288
HOCHN13FB01150403	0.502519833
HOCHN13FB01150410	0.568563922
HOCHN13FB01150412	0.3651587
HOCHN13FB01150413	0.423194574
HOCHN13FB01150503	0.565509906
HOCHN13FB01150504	0.544229348
HOCHN13FB01150505	0.659768521
HOCHN13FB01150508	0.616429114
HOCHN13FB01150510	0.543982295
HOCHN13FB01150512	0.490677395
HOCHN13FB01150515	0.720402931
HOCHN13FB01150522	0.614446699
HOCHN13FB01150608	0.589518824
HOCHN13FB01150612	0.680540088
HOCHN13FB01150630	0.594627053
HOCHN13FB01150632	0.512769759
HOCHN13FB01150633	0.565748059
HOCHN13FB01150636	0.663004175
HOCHN13FB01150637	0.50290291
HOCHN13FB01150638	0.595117998
HOCHN13FB01150708	0.659965587
HOCHN13FB01150713	0.651133262
HOCHN13FB01150717	0.681152715
HOCHN13FB01150720	0.662742674
HOCHN13FB01150722	0.766129711
HOCHN13FB01150733	0.709658791
HOCHN13FB01150735	0.630269634
HOCHN13FB01150736	0.564865241
HOCHN13FB01150803	0.646588911
HOCHN13FB01150805	0.601232126
HOCHN13FB01150806	0.65136017
HOCHN13FB01150814	0.538469064
HOCHN13FB01150818	0.564013726
HOCHN13FB01150819	0.609390577
HOCHN13FB01150822	0.448758318
HOCHN13FB01150830	0.491447486
HOCHN13FB01150831	0.590357423
HOCHN13FB01150832	0.525371386
HOCHN13FB01150835	0.669412464
HOCHN13FB01150836	0.665838058
HOCHN13FB01150902	0.756048466
HOCHN13FB01150915	0.58162751
HOCHN13FB01151002	0.816397017
HOCHN13FB01151005	0.608599155
HOCHN13FB01151006	0.760955958
HOCHN13FB01151008	0.61180923
HOCHN13FB01151015	0.525019283
HOCHN13FB01151020	0.391619072
HOCHN13FB01151103	0.617937786
HOCHN13FB01151104	0.545247387
HOCHN13FB01151109	0.582879489
HOCHN13FB01151110	0.508247653
HOCHN13FB01151111	0.79401211
HOCHN13FB01151116	0.784084054
HOCHN13FB01151119	0.609908714
HOCHN13FB01151120	0.849434031
HOCHN13FB01151122	0.672294588
HOCHN13FB01151204	0.692503635
HOCHN13FB01151205	0.6405701
HOCHN13FB01151207	0.625718214
HOCHN13FB01151209	0.635269789
HOCHN13FB01151217	0.516075267
HOCHN13FB01151223	0.618716994
HOCHN13FB01151224	0.471068096
HOCHN13FB01151226	0.585402564
HOCHN13FB01151230	0.80332226
HOCHN13FB01151231	0.62636914
HOCHN13FB01151234	0.642968322
HOCHN13FB01151235	0.734974822
HOCHN13FB01151237	0.684181799
HOCHN13FB01151239	0.478760239
HOCHN13FB01152013	0.460380957
HOCHN13FB01160103	0.408715412
HOCHN13FB01160106	0.400139018
HOCHN13FB01160109	0.604003893
HOCHN13FB01160117	0.902893566
HOCHN13FB01160127	0.762476298
HOCHN13FB01160131	0.734526946
HOCHN13FB01160133	0.492169138
HOCHN13FB01160135	0.582575085
HOCHN13FB01160136	0.603250263
HOCHN13FB01160201	0.516377888
HOCHN13FB01160205	0.507512715
HOCHN13FB01160217	0.632274276
HOCHN13FB01160218	0.690357382
HOCHN13FB01160220	0.49170691
HOCHN13FB01160221	0.763388663
HOCHN13FB01160225	0.576890059
HOCHN13FB01160305	0.68488277
HOCHN13FB01160307	0.602255022
HOCHN13FB01160312	0.814304581
HOCHN13FB01160317	0.630062211
HOCHN13FB01160319	0.426855163
HOCHN13FB01160321	0.714490736
HOCHN13FB01160323	0.126270371
HOCHN13FB01160403	0.58966115
HOCHN13FB01160405	0.681107335
HOCHN13FB01160411	0.551604635
HOCHN13FB01160413	0.65061797
HOCHN13FB01160415	0.495325679
HOCHN13FB01160416	0.67381368
HOCHN13FB01160417	0.691451116
HOCHN13FB01160418	0.55865343
HOCHN13FB01160501	0.570988257
HOCHN13FB01160503	0.761555529
HOCHN13FB01160510	0.793593417
HOCHN13FB01160511	0.699455481
HOCHN13FB01160513	0.639244751
