ID	pheotype
HOCHN000000008200	0.818765055
HOCHN000000008326	1.113687806
HOCHN000000008944	1.274156232
HOCHN000000181025	1.312206634
HOCHN000000181031	2.035803889
HOCHN000000181043	1.333488491
HOCHN000000181106	0.907598483
HOCHN000000181129	1.488508162
HOCHN000000181137	1.501266507
HOCHN000000181143	1.991539794
HOCHN000000181146	1.655288303
HOCHN000000181153	0.975072226
HOCHN000000181203	1.056828132
HOCHN000000181204	1.265749731
HOCHN000000181219	1.256606294
HOCHN000000190003	1.385381034
HOCHN000000190005	1.237106475
HOCHN000000190031	1.536633412
HOCHN000000190036	1.424746972
HOCHN000000190037_31318023663	1.664540776
HOCHN000000190044	0.892317565
HOCHN000000190045	1.848772457
HOCHN000000190046	1.701418152
HOCHN000000190047_31318023661	0.754874953
HOCHN000000190049	0.191951907
HOCHN000000190052	1.435262203
HOCHN000000190056	1.066553332
HOCHN000000190059_31318023685	1.092609806
HOCHN000000190061	1.215619143
HOCHN000000190064	1.092468124
HOCHN000000190065	0.998840565
HOCHN000000190067	1.028526407
HOCHN000000190071	1.256080013
HOCHN000000190072	1.677281087
HOCHN000000190073	0.876438606
HOCHN000000190074	1.055701191
HOCHN000000190084	1.79864486
HOCHN000000190088	1.432198008
HOCHN00000A130401	1.196096944
HOCHN00000A131106	1.30859934
HOCHN00000A131107	0.676055015
HOCHN00000A140602	1.510633498
HOCHN00000A140901	1.062947186
HOCHN00000J131207	-0.227277347
HOCHN00000J140801	1.028037444
HOCHN00000J150314	1.131218253
HOCHN00000J150315	1.598900637
HOCHN00000J150322	1.433202251
HOCHN00000M131013	0.803167969
HOCHN00000M141004	1.14428306
HOCHN00000S141210	1.410787395
HOCHN000011150844	0.94387254
HOCHN000011150845	1.492341178
HOCHN000011151064	1.443959034
HOCHN000011160102	0.852383309
HOCHN000011160106	0.839337714
HOCHN000021150956	0.984247053
HOCHN000031151063	1.212404865
HOCHN000031151069	0.891155818
HOCHN000031151177	0.914658364
HOCHN000031151281	0.886521745
HOCHN000031160111	1.373842489
HOCHN000051150843	0.809368113
HOCHN000051151070	0.774658093
HOCHN000051170208	1.333428036
HOCHN0000A1201013	1.412240634
HOCHN0000A1208065	0.449677019
HOCHN0000A1501008	0.823013735
HOCHN0000A1503030	1.668153817
HOCHN0000A1508064	1.254124003
HOCHN0000A1508079	1.222114398
HOCHN0000J1506051	1.29894617
HOCHN0000J1506054	1.305839039
HOCHN0000J1507057	1.042075409
HOCHN0000J1507059	1.377203444
HOCHN0000J1508065	1.117599321
HOCHN0000J1508078	1.056579647
HOCHN0000JE150424	1.059806639
HOCHN0000JE150737	1.308086213
HOCHN0000JE150840	1.02489173
HOCHN0000JE150841	1.469761407
HOCHN0000JE150842	1.025830647
HOCHN0000M1107023	1.175123105
HOCHN0000M1501007	0.877696337
HOCHN0000M1501011	0.971208839
HOCHN0000M1505044	0.977445585
HOCHN0000M1506048	0.875773201
HOCHN0000M1506053	1.449856261
HOCHN0000M1507056	0.84434455
HOCHN0000ME140717	2.030576713
HOCHN0000ME140923	1.375524348
HOCHN0000ME150425	0.746469176
HOCHN0000ME150734	0.961565425
HOCHN0000ZJ130107	0.913937235
HOCHN0000ZJ130313	1.411355563
HOCHN0000ZJ130902	0.650931847
HOCHN0000ZJ131006	1.01453979
HOCHN0000ZJ140707	1.160985329
HOCHN000E01160117	1.374388092
HOCHN000E01160118	1.101316041
HOCHN000E01160237	1.110328723
HOCHN000E01160242	1.064451947
HOCHN000E01160680	1.006258875
HOCHN000E01160786	1.133037987
HOCHN000E01160788	1.454089235
HOCHN000E01160789	0.937023154
HOCHN000E01160790	1.160168319
HOCHN000E01160793	1.235228115
HOCHN000E01160808	1.484094031
HOCHN000E01161267	1.73946756
HOCHN000E01161268	0.91948709
HOCHN000E01161278	0.987723593
HOCHN000E01170108	1.391865032
HOCHN000E01170112	1.570072952
HOCHN000E01170334	0.883829524
HOCHN000E01170442	1.067828934
HOCHN000E01170551	1.124024394
HOCHN000E01170661	1.655225476
HOCHN000E01170886	1.60402825
HOCHN000E01171011	1.440474502
HOCHN000E01171013	1.310894472
HOCHN000E01171016	1.398443584
HOCHN000E01171019	1.725447389
HOCHN000E01171124	1.087529524
HOCHN000E01171125	1.371902927
HOCHN000E01171126	1.04084304
HOCHN000E01171241	1.528284589
HOCHN000E01171246	0.718174759
HOCHN000E01171247	1.14291345
HOCHN000E01180217	1.669110586
HOCHN000E01180552	1.229367256
HOCHN000E01180557	1.501989629
HOCHN000E01180564	1.429266044
HOCHN000E01180678	1.172773521
HOCHN000E01180683	1.187314918
HOCHN000E02160809	0.954732062
HOCHN000E02160925	1.182893023
HOCHN000E02161034	1.171080141
HOCHN000E02161163	0.987625135
HOCHN000E02170219	1.367833024
HOCHN000E02170664	1.250732024
HOCHN000E02170665	1.2861593
HOCHN000E02170669	0.837624874
HOCHN000E02170774	1.048520473
HOCHN000E02170900	1.397852678
HOCHN000E02171122	1.082548833
HOCHN000E02180425	1.912190991
HOCHN000E02180426	1.451267335
HOCHN000E02180427	1.011783957
HOCHN000E02180432	1.21430939
HOCHN000E02180441	0.696852585
HOCHN000E02180547	1.301307944
HOCHN000E02180975	1.317668262
HOCHN000E03160233	0.915113271
HOCHN000E03160352	1.741354216
HOCHN000E03160357	1.102920586
HOCHN000E03160360	1.020832385
HOCHN000E03160464	0.836991503
HOCHN000E03160471	1.050312883
HOCHN000E03160681	1.07805096
HOCHN000E03160792	0.846874392
HOCHN000E03160802	1.352088744
HOCHN000E03160915	1.005980399
HOCHN000E03161161	0.788255866
HOCHN000E03161165	1.060424839
HOCHN000E03161166	0.747744006
HOCHN000E03161277	1.315249528
HOCHN000E03170103	1.158109447
HOCHN000E03170118	1.324483193
HOCHN000E03170329	1.303075038
HOCHN000E03170332	0.897641856
HOCHN000E03170337	0.858700467
HOCHN000E03170557	1.408261873
HOCHN000E03170777	1.082790699
HOCHN000E03170783	1.184619288
HOCHN000E03170889	1.18220328
HOCHN000E03170894	1.370992905
HOCHN000E03170896	1.437213468
HOCHN000E03171014	1.532649875
HOCHN000E03171123	1.004318384
HOCHN000E03180104	1.094705415
HOCHN000E03180318	1.374912795
HOCHN000E03180440	0.893311183
HOCHN000E03180444	1.30965846
HOCHN000E03180445	1.064032955
HOCHN000E03180550	0.929041244
HOCHN000E03180556	0.915389488
HOCHN000E03180558	1.55504231
HOCHN000E03180560	1.213986315
HOCHN000E03180571	1.017894002
HOCHN000E03180786	1.179871908
HOCHN000E03180794	1.122503834
HOCHN000E03180869	0.913160098
HOCHN000E04160116	1.317758801
HOCHN000E04160124	1.115289166
HOCHN000E04160245	1.251686769
HOCHN000E04160361	0.685728893
HOCHN000E04160913	1.154036988
HOCHN000E04161269	1.081254983
HOCHN000E04170109	1.310070549
HOCHN000E04170111	1.31246351
HOCHN000E04170113	1.070696002
HOCHN000E04170114	1.1224319
HOCHN000E04170221	0.901909434
HOCHN000E04170224	1.005568832
HOCHN000E04170225	0.819461403
HOCHN000E04170228	1.097985543
HOCHN000E04170330	1.185065173
HOCHN000E04170338	1.159535883
HOCHN000E04170339	1.467199035
HOCHN000E04170340	1.000793472
HOCHN000E04170901	1.299599328
HOCHN000E04171015	0.995080241
HOCHN000E04171243	1.186379495
HOCHN000E04171249	1.18186206
HOCHN000E04180107	1.461821329
HOCHN000E04180211	1.235213835
HOCHN000E04180216	0.574605749
HOCHN000E04180321	1.175604069
HOCHN000E04180442	1.490844565
HOCHN000E04180866	0.894373324
HOCHN000E05160119	0.960709117
HOCHN000E05160226	1.032667497
HOCHN000E05160227	0.444639317
HOCHN000E05160249	0.905599021
HOCHN000E05160466	1.846700185
HOCHN000E05160467	0.497244994
HOCHN000E05160701	1.236604952
HOCHN000E05160797	1.197444463
HOCHN000E05160807	1.363991153
HOCHN000E05160914	0.933311504
HOCHN000E05160918	1.083781492
HOCHN000E05160930	1.065953639
HOCHN000E05161038	1.077868052
HOCHN000E05161141	1.456835983
HOCHN000E05161153	1.069109856
HOCHN000E05161164	1.182302024
HOCHN000E05161273	1.114152206
HOCHN000E05161276	0.518790714
HOCHN000E05170220	0.757964107
HOCHN000E05170222	1.414733745
HOCHN000E05170556	1.175070734
HOCHN000E05170659	0.966165212
HOCHN000E05170660	0.892735709
HOCHN000E05170784	1.382726085
HOCHN000E05170887	0.765446814
HOCHN000E05170890	0.834149355
HOCHN000E05170892	1.09998474
HOCHN000E05170897	1.395980901
HOCHN000E05170898	1.205434881
HOCHN000E05170899	1.434081475
HOCHN000E05171127	1.422787094
HOCHN000E05171135	1.115128867
HOCHN000E05171242	1.126588495
HOCHN000E05171244	1.298731464
HOCHN000E05180212	1.66553682
HOCHN000E05180320	1.300779385
HOCHN000E05180433	0.921671149
HOCHN000E05180546	1.88068104
HOCHN000E06160225	1.089319475
HOCHN000E06170227	1.040430864
HOCHN000E06170552	1.30536103
HOCHN000E06170671	1.237631318
HOCHN000E06170673	0.895442857
HOCHN000E06170775	1.33303256
HOCHN000E06170785	1.315469902
HOCHN000E06170893	1.215355849
HOCHN000E06180428	1.123189241
HOCHN000E06180429	1.238658159
HOCHN000E06180430	1.067050514
HOCHN000E06180437	1.571793065
HOCHN000E06180439	0.928853332
HOCHN000E06180561	1.286437587
HOCHN000E06180568	1.597274615
HOCHN000E06180569	1.083992723
HOCHN000E06180573	1.32303421
HOCHN000E06180574	1.071196644
HOCHN000E06180576	1.379915576
HOCHN000E06180681	1.401311792
HOCHN000E07170549	1.285814458
HOCHN000E07170555	1.364881965
HOCHN000E07170670	0.751021341
HOCHN000E07180431	1.790775546
HOCHN000E11160221	0.379073017
HOCHN000E11161067	1.04284111
HOCHN000E11161068	1.197103301
HOCHN000E11161144	1.147793884
HOCHN000E11161148	1.295391338
HOCHN000E11161149	0.588983025
HOCHN000E11161151	0.890347515
HOCHN000E11161179	1.372539307
HOCHN000E11161272	0.922535454
HOCHN000E11161282	1.208951249
HOCHN000E11170102	1.182810923
HOCHN000E11170213	1.477392135
HOCHN000E11170316	1.329439298
